album,size,speechiness_min,speechiness_max,loudness_min,loudness_max,total_duration_ms,total_duration_HMS,mean_popularity
1989,13,0.0324,0.181,-8.768,-4.807,2927864,00:48:47:864,52.69230769230769
Fearless,19,0.0239,0.0549,-10.785,-3.096,4766608,01:19:26:608,43.1578947368421
Lover,18,0.0344,0.519,-12.566,-4.105,3711381,01:01:51:381,75.94444444444444
Midnights,13,0.0349,0.387,-15.512,-6.645,2648338,00:44:08:338,74.15384615384616
Red,16,0.0243,0.0916,-12.411,-4.267,3895394,01:04:55:394,45.0
Speak Now,14,0.0258,0.0887,-9.531,-2.641,4021982,01:07:01:982,50.714285714285715
TTPD,16,0.0255,0.322,-13.961,-7.123,3915705,01:05:15:705,77.0
Taylor Swift,15,0.0231,0.0646,-6.941,-2.098,3209567,00:53:29:567,56.666666666666664
evermore,15,0.0264,0.245,-12.077,-7.589,3645210,01:00:45:210,66.4
folklore,16,0.0253,0.0916,-15.065,-6.942,3816587,01:03:36:587,72.8125
reputation,15,0.0354,0.196,-12.864,-5.986,3345300,00:55:45:300,75.73333333333333
